site,PlotID,year,pre_post_fire,postTime,OBS,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_Age,TSA_HT(m),TSA_cohort_ct,#resp,TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_Age(Of Tallest),NOTES,
independence,Indy28,2020,prefire,NA,,ABMA,live,TSE,1,0.1,1,na,na,na,,,na,na,na,"PIJE tse @ d 13.5m, .3m h, ac 9",
independence,Indy29,2020,prefire,NA,,ABCO,live,TSE,2,0.2,10,na,na,na,,,na,na,na,"ABCO tsa @ d 12.5m, 1.3m h",
independence,Indy29,2020,prefire,NA,,ABCO,live,TSE,1,0.1,5,na,na,na,,,na,na,na,,
independence,Indy29,2020,prefire,NA,,PIJE,live,TSE,1,0.1,2,na,na,na,,,na,na,na,,
independence,Indy30,2020,prefire,NA,,ABCO,live,TSE,2,0.1,2,na,na,na,,,na,na,na,"PIJE tsa @ d 6m, 1.3m h",
independence,Indy30,2020,prefire,NA,,ABCO,live,TSE,1,0.3,10,na,na,na,,,na,na,na,,
independence,Indy30,2020,prefire,NA,,PIJE,live,TSE,1,0.1,2,na,na,na,,,na,na,na,,
independence,Indy31,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,2,,,na,na,na,,
independence,Indy31,2020,prefire,NA,,ABMA,live,TSE,2,0.1,1,na,na,na,,,na,na,na,"ABCO tse @ d 4.7m, .1m h, ac 2; PIJE tse @ d 5.4m, .1m h, ac 2",
independence,Indy32,2020,prefire,NA,,ABCO,live,TSE,1,na,1,na,na,na,,,na,na,na,,
independence,Indy32,2020,prefire,NA,,ABCO,live,TSA,na,na,na,2.2,50,1.8,,,na,na,na,,
independence,Indy32,2020,prefire,NA,,ABCO,live,TSA,na,na,na,2.2,40,1.7,,,na,na,na,,
independence,Indy32,2020,prefire,NA,,ABCO,live,TSA,na,na,na,7,60,3.4,,,na,na,na,,
independence,Indy32,2020,prefire,NA,,ABCO,live,TSA,na,na,na,7.5,60,3.5,,,na,na,na,,
independence,Indy32,2020,prefire,NA,,ABCO,dead,TSA,na,na,na,1.3,35,1.4,,,na,na,na,,
independence,Indy33,2020,prefire,NA,,ABCO,live,TSA,na,na,na,0.9,na,1.5,,,na,na,na,,
independence,Indy33,2020,prefire,NA,,ABCO,live,TSA,na,na,na,3.3,na,2,,,na,na,na,,
independence,Indy33,2020,prefire,NA,,ABCO,live,TSA,na,na,na,5.6,na,2.2,,,na,na,na,,
independence,Indy33,2020,prefire,NA,,ABCO,live,TSE,2,na,1,na,na,na,,,na,na,na,,
independence,Indy33,2020,prefire,NA,,ABCO,live,TSE,3,na,2,na,na,na,,,na,na,na,,
independence,Indy33,2020,prefire,NA,,ABCO,live,TSE,1,0.5,10,na,na,na,,,na,na,na,,
independence,Indy33,2020,prefire,NA,,ABCO,live,TSE,1,na,6,na,na,na,,,na,na,na,,
independence,Indy34,2020,prefire,NA,,ABCO,live,TSE,3,0.1,3,na,na,na,,,na,na,na,,
independence,Indy34,2020,prefire,NA,,PINUS,live,TSE,5,0.1,2,na,na,na,,,na,na,na,,
independence,Indy35,2020,prefire,NA,,ABCO,live,TSE,1,0.05,0,na,na,na,,,na,na,na,,
independence,Indy35,2020,prefire,NA,,ABCO,live,TSE,1,0.05,1,na,na,na,,,na,na,na,,
independence,Indy36,2020,prefire,NA,,ABCO,live,TSE,1,0.5,10,na,na,na,,,na,na,na,,
independence,Indy36,2020,prefire,NA,,ABCO,live,na,na,na,na,,,1.9,,,na,na,na,,
independence,Indy36,2020,prefire,NA,,PICO,live,TSE,1,0.1,1,na,na,na,,,na,na,na,PIJE tse none in vicinity,
independence,Indy37,2020,prefire,NA,,ABCO,live,TSE,1,0.3,8,na,na,na,,,na,na,na,,
independence,Indy37,2020,prefire,NA,,ABCO,live,TSE,1,0.2,6,na,na,na,,,na,na,na,,
independence,Indy37,2020,prefire,NA,,ABCO,live,TSE,1,0.1,7,na,na,na,,,na,na,na,,
independence,Indy37,2020,prefire,NA,,ABCO,live,TSA,na,na,na,,,2,,,na,na,na,,
independence,Indy37,2020,prefire,NA,,ABMA,live,TSE,2,0.1,1,na,na,na,,,na,na,na,"ABMA tsa @ d 11.2, 2m",
independence,Indy37,2020,prefire,NA,,PICO,live,TSE,1,0.1,3,na,na,na,,,na,na,na,,
independence,Indy37,2020,prefire,NA,,PICO,live,TSE,1,0.1,4,na,na,na,,,na,na,na,,
independence,Indy37,2020,prefire,NA,,PICO,live,TSE,2,0.1,1,na,na,na,,,na,na,na,,
independence,Indy38,2020,prefire,NA,,ABCO,live,TSE,6,0.1,2,na,na,na,,,na,na,na,,
