site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,project,burnpile_ht_m,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth
BearMountain,BM10,2021,postfire,2yr,180,0,2,2,4,11.3,2,2,2,0,2,0,1.4,0.8,1.8,,,CPFMP,,,,0,1.7,1.3,BearMountain_BM10_2021_postfire_2yr_180
BearMountain,BM10,2021,postfire,2yr,270,0,2,2,4,11.3,6,2,0,0,1.5,0,0.5,1.4,1.3,,,CPFMP,,,,0,1,1.35,BearMountain_BM10_2021_postfire_2yr_270
BearMountain,BM11,2019,postfire,immediate,0,0,2,2,4,11.3,2,0,0,0.05,0.05,0,0.05,,,,,CPFMP,,,,0.025,0.05,,BearMountain_BM11_2019_postfire_immediate_0
BearMountain,BM11,2019,postfire,immediate,180,0,2,2,4,11.3,12,0,0,0,0.5,0,0.5,,,,,CPFMP,,,,0,0.5,,BearMountain_BM11_2019_postfire_immediate_180
BearMountain,BM11,2019,postfire,immediate,270,0,2,2,4,11.3,5,1,0,0.05,2,0.05,0.05,,,,,CPFMP,,,,0.05,1.025,,BearMountain_BM11_2019_postfire_immediate_270
BearMountain,BM11,2019,postfire,immediate,90,0,2,2,4,11.3,4,2,1,0,2,0,1,,,,,CPFMP,,,,0,1.5,,BearMountain_BM11_2019_postfire_immediate_90
BearMountain,BM11,2019,prefire,,0,0,2,2,4,11.3,5,0,0,0,2,0,3,,,,,CPFMP,,,,0,2.5,,BearMountain_BM11_2019_prefire_NA_0
BearMountain,BM11,2019,prefire,,180,0,2,2,4,11.3,3,1,0,0,6,0,2,,,,,CPFMP,,,,0,4,,BearMountain_BM11_2019_prefire_NA_180
BearMountain,BM11,2019,prefire,,270,0,2,2,4,11.3,7,0,0,0.05,0.05,1,0.05,,,,,CPFMP,,,,0.525,0.05,,BearMountain_BM11_2019_prefire_NA_270
BearMountain,BM11,2019,prefire,,90,0,2,2,4,11.3,8,1,1,,0.05,0.5,0.5,,,,,CPFMP,,,,0.5,0.275,,BearMountain_BM11_2019_prefire_NA_90
BearMountain,BM11,2021,postfire,2yr,90,0,2,2,4,11.3,24,3,2,0,1.3,0,3,1.2,1.8,,,CPFMP,,,,0,2.15,1.5,BearMountain_BM11_2021_postfire_2yr_90
BearMountain,BM11,2021,postfire,2yr,0,0,2,2,4,11.3,11,0,0,0,0,0,1,0.3,1.1,,,CPFMP,,,,0,0.5,0.7,BearMountain_BM11_2021_postfire_2yr_0
BearMountain,BM11,2021,postfire,2yr,180,0,2,2,4,11.3,8,0,0,0,0.5,0,1.5,1.1,1.5,,,CPFMP,,,,0,1,1.3,BearMountain_BM11_2021_postfire_2yr_180
BearMountain,BM11,2021,postfire,2yr,270,0,2,2,4,11.3,9,2,0,0,0,0,3,0.3,2.3,,,CPFMP,,,,0,1.5,1.3,BearMountain_BM11_2021_postfire_2yr_270
BearMountain,BM12,2019,postfire,immediate,0,0,2,2,4,11.3,2,1,1,0,2,0,0,,,,,CPFMP,,,,0,1,,BearMountain_BM12_2019_postfire_immediate_0
BearMountain,BM12,2019,postfire,immediate,180,0,2,2,4,11.3,0,4,0,0,0.05,0.05,0.05,,,,,CPFMP,,,,0.025,0.05,,BearMountain_BM12_2019_postfire_immediate_180
BearMountain,BM12,2019,postfire,immediate,270,0,2,2,4,11.3,4,3,0,0,2,0,2,,,,,CPFMP,,,,0,2,,BearMountain_BM12_2019_postfire_immediate_270
BearMountain,BM12,2019,postfire,immediate,90,0,2,2,4,11.3,2,4,0,0,1,0,1,,,,,CPFMP,,,,0,1,,BearMountain_BM12_2019_postfire_immediate_90
BearMountain,BM12,2019,prefire,,0,0,2,2,4,11.3,9,2,0,0,1,0,1,,,,,CPFMP,,,,0,1,,BearMountain_BM12_2019_prefire_NA_0
BearMountain,BM12,2019,prefire,,180,0,2,2,4,11.3,10,6,7,0,3,0,7,,,,,CPFMP,,,,0,5,,BearMountain_BM12_2019_prefire_NA_180
BearMountain,BM12,2019,prefire,,270,0,2,2,4,11.3,12,3,1,0.05,0.5,0.5,1,,,,,CPFMP,,,,0.275,0.75,,BearMountain_BM12_2019_prefire_NA_270
BearMountain,BM12,2019,prefire,,90,0,2,2,4,11.3,28,4,2,4,2,2,1.5,,,,,CPFMP,,,,3,1.75,,BearMountain_BM12_2019_prefire_NA_90
BearMountain,BM12,2021,postfire,2yr,90,0,2,2,4,11.3,12,4,1,0,0.5,0,3,0.8,3,,,CPFMP,,,,0,1.75,1.9,BearMountain_BM12_2021_postfire_2yr_90
BearMountain,BM12,2021,postfire,2yr,0,0,2,2,4,11.3,1,0,0,0,2.9,0,1.4,3,1.7,,,CPFMP,,,,0,2.15,2.35,BearMountain_BM12_2021_postfire_2yr_0
BearMountain,BM12,2021,postfire,2yr,180,0,2,2,4,11.3,0,2,0,0,3.7,0,3.7,2.4,2.6,,,CPFMP,,,,0,3.7,2.5,BearMountain_BM12_2021_postfire_2yr_180
BearMountain,BM12,2021,postfire,2yr,270,0,2,2,4,11.3,4,0,0,0,1,0,8.5,1.8,5,,,CPFMP,,,,0,4.75,3.4,BearMountain_BM12_2021_postfire_2yr_270
BearMountain,BM13,2019,postfire,immediate,0,0,2,2,4,11.3,2,0,0,0,0,0.05,2,,,,,CPFMP,,,,0.025,1,,BearMountain_BM13_2019_postfire_immediate_0
