location,plot_id,species_id,status,mean_dbh,mean_ht,total_trees_acre,diameter_class
LakesDistrict,burton4,cade,live,11.5,4,10,3
LakesDistrict,burton4,pije,live,43.3,15.7,40,4
LakesDistrict,burton5,abco,live,21.61590909,11.05909091,220,3
LakesDistrict,burton5,abma,live,14.6,9,10,3
LakesDistrict,burton5,pico,live,41.8,17,10,4
LakesDistrict,burton5,pije,live,49.49,21,50,5
LakesDistrict,burton6,abco,dead,20.05,9.9125,40,3
LakesDistrict,burton6,abco,live,27.275,13.940625,320,4
LakesDistrict,burton6,abma,dead,49.4,15.875,40,5
LakesDistrict,burton6,abma,live,27.72,13.65,100,4
LakesDistrict,burton6,abco,live,23.7,12,10,3
LakesDistrict,burton7,abco,dead,33.46,13.2,50,4
LakesDistrict,burton7,abco,live,38.03333333,14.01111111,90,4
LakesDistrict,burton7,abma,dead,34.8,1.1,10,4
LakesDistrict,burton7,abma,live,37.975,15.25,40,4
LakesDistrict,burton7,pije,dead,19.4,1.1,10,3
LakesDistrict,burton7,pije,live,99,22,10,6
LakesDistrict,burton8,abco,dead,45.1,14.75,20,4
LakesDistrict,burton8,abco,live,58.72,26.22,50,5
LakesDistrict,burton8,abma,dead,29,10.7,10,4
LakesDistrict,burton8,abma,live,88.5,31,10,6
LakesDistrict,burton9,abco,dead,43.15,11.75,40,4
LakesDistrict,burton9,abco,live,28.31428571,12.98571429,70,4
LakesDistrict,burton9,abma,dead,45.9,3.5,10,5
LakesDistrict,burton9,abma,live,71.6,29.4,10,5
SlyPark,hcp1,abco,dead,25.8,17,10,4
SlyPark,hcp1,abco,live,41,31.75,40,4
SlyPark,hcp1,cade,live,71.33333333,29,30,5
SlyPark,hcp1,pipo,live,80.9,45,10,6
SlyPark,hcp1,psme,live,30.65,24.5,20,4
SlyPark,hcp10,cade,live,59.56666667,27.53333333,30,5
SlyPark,hcp10,pipo,live,48.84,30.8,50,5
SlyPark,hcp10,psme,live,31.8,19,10,4
SlyPark,hcp11,psme,live,40.13333333,23.06666667,60,4
SlyPark,hcp11,quke,live,64.5,10.5,20,5
SlyPark,hcp2,abco,live,36.575,25.575,40,4
SlyPark,hcp2,cade,live,77.2,27,20,6
SlyPark,hcp2,quke,dead,47.4,9,10,5
SlyPark,hcp3,pipo,live,82.26,44.6,50,6
SlyPark,hcp3,psme,live,46.64,25.6,50,5
SlyPark,hcp4,abco,live,32.85,22.5,20,4
SlyPark,hcp4,cade,live,57.6,22,20,5
SlyPark,hcp4,pila,live,35.3,26,10,4
SlyPark,hcp4,pipo,live,63.9,40.2,30,5
SlyPark,hcp4,psme,live,36.31666667,20.83333333,60,4
SlyPark,hcp5,pipo,live,37.56666667,15.83333333,60,4
SlyPark,hcp6,pipo,live,66.3,28,10,5
