plot_id,location,mass,fuel_size
spi11,SlyPark,0.276698415,mass_100hr
spi11,SlyPark,0.509292163,mass_cwd_rotten
spi2,SlyPark,0.039964875,mass_1hr
spi2,SlyPark,2.364207498,mass_10hr
spi2,SlyPark,1.936888902,mass_100hr
spi2,SlyPark,6.670354139,mass_cwd_sound
spi3,SlyPark,0.461412652,mass_1hr
spi3,SlyPark,2.016529924,mass_10hr
spi3,SlyPark,4.15047622,mass_100hr
spi3,SlyPark,0.244460238,mass_cwd_sound
spi4,SlyPark,0.250688764,mass_1hr
spi4,SlyPark,2.8509561,mass_10hr
spi4,SlyPark,5.257269878,mass_100hr
spi4,SlyPark,0.74367219,mass_cwd_sound
spi4,SlyPark,0.425202368,mass_cwd_rotten
spi5,SlyPark,0.483211675,mass_1hr
spi5,SlyPark,3.615846761,mass_10hr
spi5,SlyPark,5.257269878,mass_100hr
spi6,SlyPark,0.289682752,mass_1hr
spi6,SlyPark,3.909413605,mass_10hr
spi6,SlyPark,5.939750775,mass_100hr
spi6,SlyPark,0.202411651,mass_cwd_sound
spi6,SlyPark,0.391033025,mass_cwd_rotten
spi7,SlyPark,0.00363317,mass_1hr
spi7,SlyPark,0.347677573,mass_10hr
spi7,SlyPark,1.936888902,mass_100hr
spi7,SlyPark,2.447997666,mass_cwd_rotten
spi8,SlyPark,0.03451512,mass_1hr
spi8,SlyPark,0.451980845,mass_10hr
spi8,SlyPark,0.968444451,mass_100hr
spi8,SlyPark,0.108648995,mass_cwd_sound
springs1,SpringsFire,0.014532682,mass_1hr
springs1,SpringsFire,1.182103749,mass_10hr
springs1,SpringsFire,1.106793659,mass_100hr
springs1,SpringsFire,1.180803313,mass_cwd_sound
springs1,SpringsFire,0,mass_cwd_rotten
springs10,SpringsFire,0.07266341,mass_1hr
springs10,SpringsFire,0.278142059,mass_10hr
springs10,SpringsFire,0.553396829,mass_100hr
springs10,SpringsFire,0.386307537,mass_cwd_sound
springs10,SpringsFire,5.522990572,mass_cwd_rotten
springs11,SpringsFire,0.018165852,mass_1hr
springs11,SpringsFire,1.112568234,mass_10hr
springs11,SpringsFire,2.766984146,mass_100hr
springs11,SpringsFire,2.82567553,mass_cwd_sound
springs11,SpringsFire,0,mass_cwd_rotten
springs12,SpringsFire,0.047590971,mass_1hr
springs12,SpringsFire,0.90396169,mass_10hr
springs12,SpringsFire,1.106793659,mass_100hr
springs12,SpringsFire,2.733361533,mass_cwd_sound
springs12,SpringsFire,0.081486746,mass_cwd_rotten
springs13,SpringsFire,0.050864387,mass_1hr
springs13,SpringsFire,0.90396169,mass_10hr
springs13,SpringsFire,5.533968293,mass_100hr
springs13,SpringsFire,10.24243129,mass_cwd_sound
springs13,SpringsFire,0.439123021,mass_cwd_rotten
springs14,SpringsFire,0.043598046,mass_1hr
springs14,SpringsFire,0.973497205,mass_10hr
springs14,SpringsFire,1.106793659,mass_100hr
springs14,SpringsFire,0,mass_cwd_sound
springs14,SpringsFire,0,mass_cwd_rotten
springs15,SpringsFire,0.058130728,mass_1hr
springs15,SpringsFire,0.90396169,mass_10hr
springs15,SpringsFire,4.980571463,mass_100hr
springs15,SpringsFire,0.048288442,mass_cwd_sound
springs15,SpringsFire,0,mass_cwd_rotten
springs16,SpringsFire,0.025432193,mass_1hr
springs16,SpringsFire,0.764890661,mass_10hr
springs16,SpringsFire,1.383492073,mass_100hr
springs16,SpringsFire,0,mass_cwd_sound
springs16,SpringsFire,0,mass_cwd_rotten
springs17,SpringsFire,0.00363317,mass_1hr
springs17,SpringsFire,0.347677573,mass_10hr
springs17,SpringsFire,1.106793659,mass_100hr
springs17,SpringsFire,0,mass_cwd_sound
springs17,SpringsFire,0,mass_cwd_rotten
springs18,SpringsFire,0.047231216,mass_1hr
springs18,SpringsFire,0.973497205,mass_10hr
springs18,SpringsFire,1.936888902,mass_100hr
springs18,SpringsFire,1.15156617,mass_cwd_sound
springs18,SpringsFire,0,mass_cwd_rotten
springs19,SpringsFire,0.010899511,mass_1hr
springs19,SpringsFire,0.278142059,mass_10hr
springs19,SpringsFire,1.936888902,mass_100hr
springs19,SpringsFire,1.07894488,mass_cwd_sound
springs19,SpringsFire,0.282940091,mass_cwd_rotten
springs2,SpringsFire,0.141693649,mass_1hr
springs2,SpringsFire,0.695355146,mass_10hr
springs2,SpringsFire,1.936888902,mass_100hr
springs2,SpringsFire,0.070991555,mass_cwd_sound
springs2,SpringsFire,0.935965821,mass_cwd_rotten
springs20,SpringsFire,0.025432193,mass_1hr
springs20,SpringsFire,0.90396169,mass_10hr
springs20,SpringsFire,1.660190488,mass_100hr
springs20,SpringsFire,0.64543539,mass_cwd_sound
springs20,SpringsFire,0.451804396,mass_cwd_rotten
springs21,SpringsFire,0.036331705,mass_1hr
springs21,SpringsFire,0.556284117,mass_10hr
springs21,SpringsFire,1.106793659,mass_100hr
springs21,SpringsFire,1.165713174,mass_cwd_sound
