"","site","plotid","pre_post_fire","year","status","BA_m2_ha_plot","n_trees_totalPlot","n_trees_acre","n_trees_ha"
"297","calaveras","BTN14","prefire","2020","DEAD",35.8294615083519,6,60,148.263
"298","calaveras","BTN14","prefire","2020","LIVE",42.7759782738516,8,80,197.684
"299","calaveras","BTN15","postfire","2022","DEAD",13.844281686732,2,20,49.421
"300","calaveras","BTN15","postfire","2022","LIVE",60.0486286077481,13,130,321.2365
"301","calaveras","BTN15","prefire","2020","DEAD",13.693989377016,1,10,24.7105
"302","calaveras","BTN15","prefire","2020","LIVE",58.2167858224337,14,140,345.947
"303","calaveras","BTN17","prefire","2020","LIVE",79.381481032521,9,90,222.3945
"304","calaveras","BTN18","prefire","2020","DEAD",25.3845147271347,2,20,49.421
"305","calaveras","BTN18","prefire","2020","LIVE",50.5443090702041,7,70,172.9735
"306","calaveras","BTN19","prefire","2020","DEAD",79.9000224939294,3,30,74.1315
"307","calaveras","BTN19","prefire","2020","LIVE",7.99357518511334,4,40,98.842
"308","calaveras","BTN20","prefire","2020","LIVE",103.177067965891,7,70,172.9735
"309","calaveras","BTN21","prefire","2020","DEAD",25.4552359534525,3,30,74.1315
"310","calaveras","BTN21","prefire","2020","LIVE",39.0691690575374,5,50,123.5525
"311","calaveras","BTN22","prefire","2020","DEAD",8.66012856543309,1,10,24.7105
"312","calaveras","BTN22","prefire","2020","LIVE",135.489332327392,4,40,98.842
"313","calaveras","BTN23","prefire","2020","DEAD",16.0325447029263,2,20,49.421
"314","calaveras","BTN23","prefire","2020","LIVE",60.2304000143596,8,80,197.684
"315","calaveras","BTN24","prefire","2020","DEAD",4.14243178654734,1,10,24.7105
"316","calaveras","BTN24","prefire","2020","LIVE",51.7475257409867,12,120,296.526
"317","calaveras","BTN25","prefire","2020","DEAD",11.93847660902,2,20,49.421
"318","calaveras","BTN25","prefire","2020","LIVE",35.5077808480287,6,60,148.263
"319","calaveras","BTN27","prefire","2020","DEAD",53.4834708151202,14,140,345.947
"320","calaveras","BTN27","prefire","2020","LIVE",53.9051393343867,4,40,98.842
"321","calaveras","BTN28","prefire","2020","DEAD",52.1986307092152,1,10,24.7105
"322","calaveras","BTN28","prefire","2020","LIVE",54.623646809891,6,60,148.263
