"","project","site","year","plotid","pre_post_fire","postFire","tag_id","status","species","dbh_cm","ht_m","ht2crown_m","livecrownratio_perc","crownclass","crownwidth_m","bolechar_m","decay","scorch_ht_m","scorch_percent","torch_ht_m","torch_percent","healthCode","healthCode2","notes","ht2dead_m","torch_percent.1","resprout","stump_diameter_cm","stump_ht_m","presentPostThin","StatusPostThin","samplingTime","Beetles2019","DeadPriorFire"
"8731","CPFMP","modoc","2021","MOD021","postfire","immediate","na","DEAD","PILA","30.9",NA,NA,NA,NA,NA,"na",NA,"na","na","na","na",NA,NA,"no data recorded for tree",NA,"na",NA,NA,NA,NA,NA,NA,NA,NA
"8732","CPFMP","caples","2013-2018","2","prefire",NA,"200","LIVE","ABCO","30.9","11","2",NA,"IN","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8733","CPFMP","caples","2013-2018","23","prefire",NA,"617","LIVE","ABCO","30.9","19.1","6.5",NA,"IN","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8734","CPFMP","caples","2020","77","postfire","1yr","960","LIVE","ABCO","30.9","13.2","3.7",90,"IN",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"8735","CPFMP","Valentine","2020","VR13","prefire",NA,"767","LIVE","ABCO","30.9","16.6","5.8",NA,"co","3.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","L",NA,NA,NA
"8736","CPFMP","caples","2013-2018","114","prefire",NA,"53","LIVE","JUOC","30.9",NA,"3.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,"WT",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8737","CPFMP","caples","2020","129","postfire","1yr","592","LIVE","PIJE","30.9","15.7","4",90,"CO",NA,"0",NA,NA,NA,NA,NA,"S",NA,"2.2 TO DEAD",NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"8738","CPFMP","Valentine","2020","VR4","prefire",NA,"369","LIVE","POTR","30.9","11.6","6.2",NA,"op","6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","L",NA,NA,NA
"8739","CPFMP","BurtonSP","2019","burton17","prefire",NA,"811","LIVE","ABCO","30.9","15","3.8",NA,"OV","3",NA,"1",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8740","CPFMP","BurtonSP","2019","burton2","prefire",NA,"749","LIVE","ABCO","30.9","13","2",NA,"IN","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,"1",NA,NA,NA,NA,NA,NA
"8741","CPFMP","BurtonSP","2019","burton23","prefire",NA,"892","LIVE","ABCO","30.9","13","2",NA,"IN","3",NA,"2",NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8742","CPFMP","frenchmeadows","2020","FM050","prefire",NA,"1821","LIVE","ABCO","30.9","16.6","3",65,NA,"2.5",NA,"na",NA,NA,NA,NA,"pitching on bole of tree",NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8743","CPFMP","frenchmeadows","2020","FM063","prefire",NA,"1582","LIVE","ABCO","30.9","14.2","2.5",75,NA,"3",NA,"na",NA,NA,NA,NA,"na",NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8744","CPFMP","Independence","2020","Indy38","prefire",NA,"1378","LIVE","ABCO","30.9","15.2","1.5",95,NA,"4",NA,"na",NA,NA,NA,NA,"pitching on bole of tree","na",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8745","CPFMP","bearmountain","2021","BM14","postfire","2yr","4322","LIVE","CADE","30.9","10.5","3",NA,NA,"4.5","3","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8746","CPFMP","bearmountain","2019","BM8","prefire",NA,NA,"LIVE","CADE","30.9","10","5",NA,"CO","4",NA,"2",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747","CPFMP","frenchmeadows","2019","FM010-5","prefire",NA,NA,"LIVE","CADE","30.9","15","6",NA,"IN","5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8748","CPFMP","klamath","2021","KLAMATH009","prefire",NA,"4556","LIVE","NODE","30.9","22.2","12.2",NA,NA,"5","2","na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8749","CPFMP","BurtonSP","2020","burton27","prefire",NA,"1716","LIVE","PIJE","30.9","14.1","4.5",98,NA,"4",NA,"na",NA,NA,NA,NA,"na","na",NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8750","CPFMP","DryCreek","2020","DryCreek50","prefire",NA,"1372","LIVE","PIJE","30.9","9.1","2.4",95,NA,"3.2",NA,"na",NA,NA,NA,NA,"na","na",NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8751","CPFMP","springsfire","2020","springs12","postfire","1yr","139","LIVE","PIJE","30.9","12","8",NA,NA,NA,"3","na","8","65","2.2","65",NA,NA,NA,1.4,"65",NA,NA,NA,NA,NA,NA,NA,NA
"8752","CPFMP","odell","2022","Odell003","prefire",NA,NA,"LIVE","QUKE","30.9","13.6","4.9",NA,NA,"5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8753","CPFMP","caples","2020","100","postfire","1yr","306","LIVE","CADE","30.9","8.9","6.22",27,"IN","2.2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"8754","CPFMP","caples","2013-2018","17","prefire",NA,NA,"DEAD","ABCO","31","4",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8755","CPFMP","caples","2013-2018","37","prefire",NA,NA,"DEAD","ABCO","31","5.4",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8756","CPFMP","caples","2020","4","postfire","1yr","0","DEAD","ABCO","31","17.5","0",0,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"8757","CPFMP","caples","2020","28","postfire","1yr","690","DEAD","CADE","31","14.3","0",0,NA,NA,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"8758","CPFMP","frenchmeadows","2019","FM019-15","prefire",NA,NA,"DEAD","ABCO","31","1.8",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8759","CPFMP","frenchmeadows","2019","FM019-18","prefire",NA,"2289","DEAD","ABCO","31","18","0.5",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
