"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"3205","springsfire","springs27","prefire","2019","[60-80]",0,0,0
"3206","springsfire","springs27","prefire","2019","[20-40]",1,10,24.7105
"3207","springsfire","springs27","prefire","2019","[<20]",2,20,49.421
"3208","springsfire","springs27","prefire","2019","[40-60]",0,0,0
"3209","springsfire","springs27","prefire","2019","[>100]",0,0,0
"3210","springsfire","springs27","prefire","2019","[80-100]",0,0,0
"3211","springsfire","springs28","postfire","2020","[60-80]",0,0,0
"3212","springsfire","springs28","postfire","2020","[20-40]",0,0,0
"3213","springsfire","springs28","postfire","2020","[<20]",4,40,98.842
"3214","springsfire","springs28","postfire","2020","[40-60]",0,0,0
"3215","springsfire","springs28","postfire","2020","[>100]",0,0,0
"3216","springsfire","springs28","postfire","2020","[80-100]",0,0,0
"3217","springsfire","springs30","postfire","2020","[60-80]",0,0,0
"3218","springsfire","springs30","postfire","2020","[20-40]",0,0,0
"3219","springsfire","springs30","postfire","2020","[<20]",9,90,222.3945
"3220","springsfire","springs30","postfire","2020","[40-60]",0,0,0
"3221","springsfire","springs30","postfire","2020","[>100]",0,0,0
"3222","springsfire","springs30","postfire","2020","[80-100]",0,0,0
"3223","springsfire","springs37","postfire","2020","[60-80]",0,0,0
"3224","springsfire","springs37","postfire","2020","[20-40]",0,0,0
"3225","springsfire","springs37","postfire","2020","[<20]",3,30,74.1315
"3226","springsfire","springs37","postfire","2020","[40-60]",0,0,0
"3227","springsfire","springs37","postfire","2020","[>100]",0,0,0
"3228","springsfire","springs37","postfire","2020","[80-100]",0,0,0
"3229","springsfire","springs38","postfire","2020","[60-80]",0,0,0
"3230","springsfire","springs38","postfire","2020","[20-40]",0,0,0
"3231","springsfire","springs38","postfire","2020","[<20]",0,0,0
"3232","springsfire","springs38","postfire","2020","[40-60]",1,10,24.7105
"3233","springsfire","springs38","postfire","2020","[>100]",0,0,0
"3234","springsfire","springs38","postfire","2020","[80-100]",0,0,0
"3235","springsfire","springs38","prefire","2019","[60-80]",0,0,0
"3236","springsfire","springs38","prefire","2019","[20-40]",0,0,0
"3237","springsfire","springs38","prefire","2019","[<20]",0,0,0
"3238","springsfire","springs38","prefire","2019","[40-60]",1,10,24.7105
"3239","springsfire","springs38","prefire","2019","[>100]",0,0,0
"3240","springsfire","springs38","prefire","2019","[80-100]",0,0,0
"3241","springsfire","springs39","postfire","2020","[60-80]",0,0,0
"3242","springsfire","springs39","postfire","2020","[20-40]",0,0,0
"3243","springsfire","springs39","postfire","2020","[<20]",0,0,0
"3244","springsfire","springs39","postfire","2020","[40-60]",1,10,24.7105
"3245","springsfire","springs39","postfire","2020","[>100]",0,0,0
"3246","springsfire","springs39","postfire","2020","[80-100]",0,0,0
"3247","springsfire","springs39","prefire","2019","[60-80]",0,0,0
"3248","springsfire","springs39","prefire","2019","[20-40]",0,0,0
"3249","springsfire","springs39","prefire","2019","[<20]",0,0,0
"3250","springsfire","springs39","prefire","2019","[40-60]",1,10,24.7105
"3251","springsfire","springs39","prefire","2019","[>100]",0,0,0
"3252","springsfire","springs39","prefire","2019","[80-100]",0,0,0
"3253","springsfire","springs40","postfire","2020","[60-80]",0,0,0
"3254","springsfire","springs40","postfire","2020","[20-40]",1,10,24.7105
"3255","springsfire","springs40","postfire","2020","[<20]",1,10,24.7105
"3256","springsfire","springs40","postfire","2020","[40-60]",0,0,0
"3257","springsfire","springs40","postfire","2020","[>100]",0,0,0
"3258","springsfire","springs40","postfire","2020","[80-100]",0,0,0
"3259","springsfire","springs44","prefire","2020","[60-80]",0,0,0
"3260","springsfire","springs44","prefire","2020","[20-40]",0,0,0
"3261","springsfire","springs44","prefire","2020","[<20]",0,0,0
"3262","springsfire","springs44","prefire","2020","[40-60]",1,10,24.7105
