site,year,plotid,observer,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BurtonSP,2019,burton16,nr,prefire,,cepr,live,SH,SL,30,
BurtonSP,2019,burton17,nr,prefire,,cepr,live,SH,SL,1.5,
BurtonSP,2019,burton18,nr,prefire,,cepr,live,SH,SL,1,
BurtonSP,2019,burton19,nr,prefire,,cepr,live,SH,SL,13,
BurtonSP,2019,burton2,ag,prefire,,cepr,live,SH,SL,12,
BurtonSP,2019,burton21,nr,prefire,,cepr,live,SH,SL,1,
BurtonSP,2019,burton22,nr,prefire,,cepr,live,SH,SL,0.5,
BurtonSP,2019,burton23,nr,prefire,,cepr,live,SH,SL,2.5,
BurtonSP,2019,burton24,nr,prefire,,cepr,live,SH,SL,0.5,
BurtonSP,2019,burton4,nr,prefire,,cepr,live,SH,SL,20,
BurtonSP,2019,burton6,ag,prefire,,cepr,live,SH,SL,0.5,
BurtonSP,2019,burton7,nr,prefire,,cepr,live,SH,SL,8,
BurtonSP,2019,burton8,nr,prefire,,cepr,live,SH,SL,,
BurtonSP,2019,burton9,nr,prefire,,cepr,live,SH,SL,5,
BurtonSP,2019,burton1,ag,prefire,,chme,live,FB,,tr,
BurtonSP,2019,burton2,ag,prefire,,chimen,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,chimen,live,FB,,tr,
BurtonSP,2019,burton5,ag,prefire,,chimen,live,FB,,tr,
BurtonSP,2019,burton6,ag,prefire,,chimen,live,FB,,tr,
BurtonSP,2019,burton21,nr,prefire,,erinau,live,FB,,tr,
BurtonSP,2019,burton14,nr,prefire,,chrsem,live,SH,SL,0.5,
BurtonSP,2019,burton14,nr,prefire,,chrsem,live,SH,SM,0.5,
BurtonSP,2019,burton18,nr,prefire,,chrsem,live,SH,SL,0.5,
BurtonSP,2019,burton6,ag,prefire,,chrsem,live,SH,SL,tr,
BurtonSP,2019,burton6,ag,prefire,,chrsem,live,SH,SM,tr,
BurtonSP,2019,burton10,nr,prefire,,chiumb,live,FB,,tr,
BurtonSP,2019,burton11,nr,prefire,,chiumb,live,FB,,tr,
BurtonSP,2019,burton13,nr,prefire,,chiumb,live,FB,,tr,
BurtonSP,2019,burton16,nr,prefire,,chiumb,live,FB,,tr,
