site,plotid,pre_post_fire,postTime,obs,year,species,status,lifeform,layer_code,percent,notes,collected,pic
RioLindo,RIO008,prefire,,km,2021,latves,live,FB,,0.5,,,
RioLindo,RIO009,prefire,,km,2021,latves,live,FB,,tr,,,
Bouverie,BOUV002,prefire,,km,2021,lobed lv,live,FB,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,lonhis,live,SH,,1,,,
Bouverie,BOUV002,prefire,,km,2021,lonhis,live,SH,,0.25,,,
Bouverie,BOUV003,prefire,,km,2021,lonhis,live,SH,,5,,,
Bouverie,BOUV004,prefire,,km,2021,lonhis,live,SH,,3,,,
Bouverie,BOUV005,prefire,,km,2021,lonhis,live,SH,,1,,,
Bouverie,BOUV006,prefire,,km,2021,lonhis,live,SH,,tr,,,
Bouverie,BOUV007,prefire,,km,2021,lonhis,live,SH,,0.5,,,
Bouverie,BOUV008,prefire,,km,2021,lonhis,live,SH,,1,,,
Bouverie,BOUV009,prefire,,km,2021,lonhis,live,SH,,10,,,
Bouverie,BOUV010,prefire,,km,2021,lonhis,live,SH,,1.5,,,
Bouverie,BOUV011,prefire,,km,2021,lonhis,live,SH,,tr,,,
Bouverie,BOUV012,prefire,,km,2021,lonhis,live,SH,,tr,,,
RioLindo,RIO001,prefire,,km,2021,lonhis,live,SH,,0.5,,,
RioLindo,RIO002,prefire,,km,2021,lonhis,live,SH,,0.5,,,
