site,year,pre_post_fire,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
bearmountain,2019,prefire,,BM20,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,pipo,live,TR,TOV,8,
bearmountain,2019,prefire,,BM20,nr,pipo,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM20,nr,quke,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM20,nr,quke,live,TR,TRE,0.5,
bearmountain,2019,prefire,,BM20,nr,quke,live,TR,TSA,tr,
bearmountain,2019,prefire,,BM20,nr,riro,live,SH,SL,tr,
bearmountain,2019,prefire,,BM20,nr,smallFgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM20,nr,tearspike,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,tighttopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM20,nr,unkblackseeds,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,unkflw200,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,unkfuzzy,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,unkrose,live,FB,,tr,
bearmountain,2019,prefire,,BM20,nr,unkWforb,live,FB,,tr,
bearmountain,2019,prefire,,BM21,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM21,nr,arcvis,live,SH,SL,1,
bearmountain,2019,prefire,,BM21,nr,arcvis,live,SH,SM,1,
bearmountain,2019,prefire,,BM21,nr,cade,live,TR,TOV,9,
