plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha,plotid
springs14 prefire na,live,pije,1.254552615,10,37.9,69.4,23.6,7.4,13.11,3.75,40.4686,5.076998794,springs14 prefire na
springs14 prefire na,stump,pije,,4,,,,,,,16.18744,,springs14 prefire na
springs15 postfire 1yr,dead,PICO,0.010386891,1,11.5,11.5,11.5,,5,0,4.04686,0.042034293,springs15 postfire 1yr
springs15 postfire 1yr,live,PICO,0.312951323,3,35.73333333,45.8,29.7,4.733333333,13,0.633333333,12.14058,1.266470191,springs15 postfire 1yr
springs15 postfire 1yr,live,PIJE,0.53560699,3,44.6,57.6,20.8,6,13.63333333,2.466666667,12.14058,2.167526503,springs15 postfire 1yr
springs15 prefire na,live,pije,0.870676696,7,36.31428571,57.6,10.8,3.571428571,12.15714286,1.2,28.32802,3.523506694,springs15 prefire na
springs15 prefire na,stump,pije,,1,,,,,,,4.04686,,springs15 prefire na
springs16 postfire 1yr,live,PIJE,1.271297304,5,55.36,74.1,35.8,5.6,14.94,2.2,20.2343,5.144762206,springs16 postfire 1yr
springs16 prefire na,live,pije,1.06908398,5,45.36,73.3,0.5,6,14.78,2.55,20.2343,4.326433195,springs16 prefire na
springs17 postfire 1yr,live,PIJE,0.687035683,3,53.96666667,56,51.5,3.9,15,1,12.14058,2.780337223,springs17 postfire 1yr
springs17 prefire na,live,pije,0.702732651,3,54.56666667,57.5,52.1,3.833333333,14.66666667,2.25,12.14058,2.843860654,springs17 prefire na
springs17 prefire na,stump,pije,,3,,,,,,,12.14058,,springs17 prefire na
springs18 postfire 1yr,live,PIJE,1.332978548,9,42.94444444,50.1,29,4.211111111,14,1.744444444,36.42174,5.394377568,springs18 postfire 1yr
springs18 prefire na,live,pije,1.31857199,9,42.71111111,50,28.7,4.411111111,13.34444444,2.088888889,36.42174,5.336076243,springs18 prefire na
springs18 prefire na,stump,pije,,7,,,,,,,28.32802,,springs18 prefire na
