site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
bearmountain,BM10,2021,postfire,2yr,BM10 postfire 2yr,0,0,3.25,2.95,0,0.225216241730029,0,0,0,0.225216241730029,0,0.225216241730029,bearmountain BM10 postfire 2yr
bearmountain,BM10,2021,postfire,2yr,BM10 postfire 2yr,180,0,1.7,1.3,0.0117673538066555,0.225216241730029,0.896189197195616,0,0,1.1331727927323,0,1.1331727927323,bearmountain BM10 postfire 2yr
bearmountain,BM10,2021,postfire,2yr,BM10 postfire 2yr,270,0,1,1.35,0.0353020614199664,0.225216241730029,0,3.39285398230089,0,0.260518303149995,1.37362509404894,1.63414339719894,bearmountain BM10 postfire 2yr
bearmountain,BM11,2019,postfire,immediate,BM11 postfire immediate,0,0.025,0.05,,0.0117673538066555,0,0,2.80385063673646,0,0.0117673538066555,1.13516220110788,1.14692955491453,bearmountain BM11 postfire immediate
bearmountain,BM11,2019,postfire,immediate,BM11 postfire immediate,180,0,0.5,,0.0706041228399329,0,0,0,0,0.0706041228399329,0,0.0706041228399329,bearmountain BM11 postfire immediate
bearmountain,BM11,2019,postfire,immediate,BM11 postfire immediate,270,0.05,1.025,,0.0294183845166387,0.112608120865014,0,1.02345416037125,0,0.142026505381653,0.414353911081478,0.556380416463131,bearmountain BM11 postfire immediate
bearmountain,BM11,2019,postfire,immediate,BM11 postfire immediate,90,0,1.5,,0.023534707613311,0.225216241730029,0.448094598597808,0,0,0.696845547941147,0,0.696845547941147,bearmountain BM11 postfire immediate
bearmountain,BM11,2019,prefire,"",BM11 prefire NA,0,0,2.5,,0.0294183845166387,0,0,0.822657565292467,0,0.0294183845166387,0.333059743033388,0.362478127550026,bearmountain BM11 prefire 
bearmountain,BM11,2019,prefire,"",BM11 prefire NA,180,0,4,,0.0176510307099832,0.112608120865014,0,0,0,0.130259151574998,0,0.130259151574998,bearmountain BM11 prefire 
bearmountain,BM11,2019,prefire,"",BM11 prefire NA,270,0.525,0.05,,0.0411857383232942,0,0,0,0,0.0411857383232942,0,0.0411857383232942,bearmountain BM11 prefire 
bearmountain,BM11,2019,prefire,"",BM11 prefire NA,90,0.5,0.275,,0.0470694152266219,0.112608120865014,0.448094598597808,0,0,0.607772134689444,0,0.607772134689444,bearmountain BM11 prefire 
bearmountain,BM11,2021,postfire,2yr,BM11 postfire 2yr,90,0,2.15,1.5,0.141208245679866,0.337824362595043,0.896189197195616,0,0,1.37522180547052,0,1.37522180547052,bearmountain BM11 postfire 2yr
bearmountain,BM11,2021,postfire,2yr,BM11 postfire 2yr,0,0,0.5,0.7,0.0647204459366051,0,0,0.700962659184114,0,0.0647204459366051,0.283790550276969,0.348510996213574,bearmountain BM11 postfire 2yr
bearmountain,BM11,2021,postfire,2yr,BM11 postfire 2yr,180,0,1,1.3,0.0470694152266219,0,0,0,0,0.0470694152266219,0,0.0470694152266219,bearmountain BM11 postfire 2yr
bearmountain,BM11,2021,postfire,2yr,BM11 postfire 2yr,270,0,1.5,1.3,0.0529530921299496,0.225216241730029,0,0.954088063889489,0,0.278169333859978,0.386270471210319,0.664439805070297,bearmountain BM11 postfire 2yr
bearmountain,BM12,2019,postfire,immediate,BM12 postfire immediate,0,0,1,,0.0117673538066555,0.112608120865014,0.448094598597808,0,0,0.572470073269478,0,0.572470073269478,bearmountain BM12 postfire immediate
bearmountain,BM12,2019,postfire,immediate,BM12 postfire immediate,180,0.025,0.05,,0,0.450432483460057,0,7.42338927260954,0,0.450432483460057,3.00542075814151,3.45585324160157,bearmountain BM12 postfire immediate
bearmountain,BM12,2019,postfire,immediate,BM12 postfire immediate,270,0,2,,0.023534707613311,0.337824362595043,0,3.8942369954673,0,0.361359070208354,1.57661416820538,1.93797323841374,bearmountain BM12 postfire immediate
bearmountain,BM12,2019,postfire,immediate,BM12 postfire immediate,90,0,1,,0.0117673538066555,0.450432483460057,0,0.822657565292467,0,0.462199837266713,0.333059743033388,0.7952595803001,bearmountain BM12 postfire immediate
bearmountain,BM12,2019,prefire,"",BM12 prefire NA,0,0,1,,0.0529530921299496,0.225216241730029,0,31.5627908482625,0,0.278169333859978,12.7784578333046,13.0566271671646,bearmountain BM12 prefire 
bearmountain,BM12,2019,prefire,"",BM12 prefire NA,180,0,5,,0.0588367690332774,0.675648725190086,3.13666219018465,9.17579592056983,0,3.87114768440802,3.71489713383394,7.58604481824195,bearmountain BM12 prefire 
bearmountain,BM12,2019,prefire,"",BM12 prefire NA,270,0.275,0.75,,0.0706041228399329,0.337824362595043,0.448094598597808,16.1318767537233,0,0.856523084032784,6.53112419179081,7.38764727582359,bearmountain BM12 prefire 
bearmountain,BM12,2019,prefire,"",BM12 prefire NA,90,3,1.75,,0.164742953293177,0.450432483460057,0.896189197195616,0,0.934616878912152,1.51136463394885,0.378387400369292,1.88975203431814,bearmountain BM12 prefire 
bearmountain,BM12,2021,postfire,2yr,BM12 postfire 2yr,90,0,1.75,1.9,0.0706041228399329,0.450432483460057,0.448094598597808,0,0,0.969131204897798,0,0.969131204897798,bearmountain BM12 postfire 2yr
bearmountain,BM12,2021,postfire,2yr,BM12 postfire 2yr,0,0,2.15,2.35,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,bearmountain BM12 postfire 2yr
bearmountain,BM12,2021,postfire,2yr,BM12 postfire 2yr,180,0,3.7,2.5,0,0.225216241730029,0,3.04631556766674,0,0.225216241730029,1.23332614075576,1.45854238248579,bearmountain BM12 postfire 2yr
bearmountain,BM12,2021,postfire,2yr,BM12 postfire 2yr,270,0,4.75,3.4,0.023534707613311,0,0,1.09525415497518,0,0.023534707613311,0.443422734807764,0.466957442421075,bearmountain BM12 postfire 2yr
bearmountain,BM13,2019,postfire,immediate,BM13 postfire immediate,0,0.025,1,,0.0117673538066555,0,0,0,0,0.0117673538066555,0,0.0117673538066555,bearmountain BM13 postfire immediate
bearmountain,BM13,2019,postfire,immediate,BM13 postfire immediate,180,0,0.05,,0.0176510307099832,0.337824362595043,0,7.7884739909346,0,0.355475393305026,3.15322833641077,3.50870372971579,bearmountain BM13 postfire immediate
