site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
henrycoe,HENRY009,prefire,NA,mass_10hr,0.278142058536585
henrycoe,HENRY009,prefire,NA,mass_100hr,1.10679365853659
henrycoe,HENRY009,prefire,NA,total_fine,1.42490059243902
henrycoe,HENRY009,prefire,NA,total_cwd,0.384251666037125
henrycoe,HENRY009,prefire,NA,total_fuel,1.80915225847615
henrycoe,HENRY009,prefire,NA,litter_depth_cm,5.6375
henrycoe,HENRY009,prefire,NA,duff_depth_cm,1.3125
henrycoe,HENRY009,prefire,NA,fuel_depth_cm,5.8875
henrycoe,HENRY010,prefire,NA,mass_1hr,0.029065363902439
henrycoe,HENRY010,prefire,NA,mass_10hr,0.973497204878049
henrycoe,HENRY010,prefire,NA,mass_100hr,1.10679365853659
henrycoe,HENRY010,prefire,NA,total_fine,2.10935622731707
henrycoe,HENRY010,prefire,NA,total_cwd,0
henrycoe,HENRY010,prefire,NA,total_fuel,2.10935622731707
henrycoe,HENRY010,prefire,NA,litter_depth_cm,5.5375
henrycoe,HENRY010,prefire,NA,duff_depth_cm,0.7625
henrycoe,HENRY010,prefire,NA,fuel_depth_cm,15.775
henrycoe,HENRY011,prefire,NA,mass_1hr,0.0508643868292683
henrycoe,HENRY011,prefire,NA,mass_10hr,0.973497204878049
henrycoe,HENRY011,prefire,NA,mass_100hr,1.66019048780488
henrycoe,HENRY011,prefire,NA,total_fine,2.6845520795122
henrycoe,HENRY011,prefire,NA,total_cwd,3.07530329430175
henrycoe,HENRY011,prefire,NA,total_fuel,5.75985537381394
henrycoe,HENRY011,prefire,NA,litter_depth_cm,4.925
henrycoe,HENRY011,prefire,NA,duff_depth_cm,1.4125
henrycoe,HENRY011,prefire,NA,fuel_depth_cm,7.0875
henrycoe,HENRY012,prefire,NA,mass_1hr,0.116261455609756
henrycoe,HENRY012,prefire,NA,mass_10hr,0.903961690243902
henrycoe,HENRY012,prefire,NA,mass_100hr,0.553396829268293
henrycoe,HENRY012,prefire,NA,total_fine,1.57361997512195
henrycoe,HENRY012,prefire,NA,total_cwd,0.700962659184114
henrycoe,HENRY012,prefire,NA,total_fuel,2.27458263430607
henrycoe,HENRY012,prefire,NA,litter_depth_cm,3.8
henrycoe,HENRY012,prefire,NA,duff_depth_cm,2.3
henrycoe,HENRY012,prefire,NA,fuel_depth_cm,4.075
henrycoe,HENRY013,prefire,NA,mass_1hr,0.178025353902439
henrycoe,HENRY013,prefire,NA,mass_10hr,1.9469944097561
henrycoe,HENRY013,prefire,NA,mass_100hr,1.38349207317073
henrycoe,HENRY013,prefire,NA,total_fine,3.50851183682927
henrycoe,HENRY013,prefire,NA,total_cwd,3.13972857759551
henrycoe,HENRY013,prefire,NA,total_fuel,6.64824041442478
henrycoe,HENRY013,prefire,NA,litter_depth_cm,5.3375
henrycoe,HENRY013,prefire,NA,duff_depth_cm,1.5
henrycoe,HENRY013,prefire,NA,fuel_depth_cm,7.7125
henrycoe,HENRY014,prefire,NA,mass_1hr,0.130794137560976
henrycoe,HENRY014,prefire,NA,mass_10hr,2.64234955609756
henrycoe,HENRY014,prefire,NA,mass_100hr,2.76698414634146
henrycoe,HENRY014,prefire,NA,total_fine,5.54012784
henrycoe,HENRY014,prefire,NA,total_cwd,0.22508689833801
henrycoe,HENRY014,prefire,NA,total_fuel,5.76521473833801
henrycoe,HENRY014,prefire,NA,litter_depth_cm,9.3625
henrycoe,HENRY014,prefire,NA,duff_depth_cm,1.0625
henrycoe,HENRY014,prefire,NA,fuel_depth_cm,12.3625
independence,Indy01,prefire,NA,mass_1hr,0.029065363902439
independence,Indy01,prefire,NA,mass_10hr,0.417213087804878
