site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsAcre
antelope,ANTELOPE18,2020,prefire,NA,mass_1hr,0.030669594293808174
antelope,ANTELOPE18,2020,prefire,NA,mass_10hr,0.1768163193039255
antelope,ANTELOPE18,2020,prefire,NA,mass_100hr,0.9271217786321327
antelope,ANTELOPE18,2020,prefire,NA,mass_cwd_sound,2.735081734626087
antelope,ANTELOPE18,2020,prefire,NA,mass_cwd_rotten,1.4116026974855223
antelope,ANTELOPE18,2020,prefire,NA,total_fine,1.1346076922298665
antelope,ANTELOPE18,2020,prefire,NA,total_cwd,4.146684432111609
antelope,ANTELOPE18,2020,prefire,NA,total_fuel,44.53396258164621
antelope,ANTELOPE18,2020,prefire,NA,duff_load,37.172398975617156
antelope,ANTELOPE18,2020,prefire,NA,litter_load,2.0802714816875754
antelope,ANTELOPE18,2020,prefire,NA,litter_depth_cm,3.21875
antelope,ANTELOPE18,2020,prefire,NA,duff_depth_cm,12.0625
antelope,ANTELOPE18,2020,prefire,NA,fuel_depth_cm,14.425
antelope,ANTELOPE19,2020,prefire,NA,mass_1hr,0.09712038193039255
antelope,ANTELOPE19,2020,prefire,NA,mass_10hr,0.4862448780857953
antelope,ANTELOPE19,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE19,2020,prefire,NA,mass_cwd_sound,0.46652465670360244
antelope,ANTELOPE19,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE19,2020,prefire,NA,total_fine,0.5833652600161878
antelope,ANTELOPE19,2020,prefire,NA,total_cwd,0.46652465670360244
antelope,ANTELOPE19,2020,prefire,NA,total_fuel,3.7937450963029544
antelope,ANTELOPE19,2020,prefire,NA,duff_load,1.887510414305949
antelope,ANTELOPE19,2020,prefire,NA,litter_load,0.8563447652772156
antelope,ANTELOPE19,2020,prefire,NA,litter_depth_cm,1.325
antelope,ANTELOPE19,2020,prefire,NA,duff_depth_cm,0.6125
antelope,ANTELOPE19,2020,prefire,NA,fuel_depth_cm,2.475
bearmountain,BM01,2019,postfire,immediate,mass_1hr,0.05760459873370426
bearmountain,BM01,2019,postfire,immediate,mass_10hr,0.49812782877136985
bearmountain,BM01,2019,postfire,immediate,mass_100hr,0.2642054097750566
bearmountain,BM01,2019,postfire,immediate,mass_cwd_sound,0
bearmountain,BM01,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,BM01,2019,postfire,immediate,total_fine,0.8199378372801306
bearmountain,BM01,2019,postfire,immediate,total_cwd,0
bearmountain,BM01,2019,postfire,immediate,total_fuel,2.667935781485953
bearmountain,BM01,2019,postfire,immediate,duff_load,0.7542596648511695
bearmountain,BM01,2019,postfire,immediate,litter_load,1.0937382793546528
bearmountain,BM01,2019,postfire,immediate,litter_depth_cm,1.81875
bearmountain,BM01,2019,postfire,immediate,duff_depth_cm,0.2562500000000001
bearmountain,BM01,2019,prefire,NA,mass_1hr,0.03456275924022256
bearmountain,BM01,2019,prefire,NA,mass_10hr,0.29887669726282196
bearmountain,BM01,2019,prefire,NA,mass_100hr,0.5284108195501132
bearmountain,BM01,2019,prefire,NA,mass_cwd_sound,0.15151404083739348
bearmountain,BM01,2019,prefire,NA,mass_cwd_rotten,0
bearmountain,BM01,2019,prefire,NA,total_fine,0.8618502760531574
bearmountain,BM01,2019,prefire,NA,total_cwd,0.15151404083739348
bearmountain,BM01,2019,prefire,NA,total_fuel,2.619240560317437
bearmountain,BM01,2019,prefire,NA,duff_load,0.47831100697879053
bearmountain,BM01,2019,prefire,NA,litter_load,1.1275652364480955
bearmountain,BM01,2019,prefire,NA,litter_depth_cm,1.875
bearmountain,BM01,2019,prefire,NA,duff_depth_cm,0.1625
bearmountain,BM01,2021,postfire,2yr,mass_1hr,0.023041839493481705
bearmountain,BM01,2021,postfire,2yr,mass_10hr,0.3486894801399589
bearmountain,BM01,2021,postfire,2yr,mass_100hr,0.3522738797000754
bearmountain,BM01,2021,postfire,2yr,mass_cwd_sound,0
bearmountain,BM01,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,BM01,2021,postfire,2yr,total_fine,0.724005199333516
bearmountain,BM01,2021,postfire,2yr,total_cwd,0
bearmountain,BM01,2021,postfire,2yr,total_fuel,1.971844061002742
bearmountain,BM01,2021,postfire,2yr,duff_load,0
bearmountain,BM01,2021,postfire,2yr,litter_load,1.247838861669226
bearmountain,BM01,2021,postfire,2yr,litter_depth_cm,2.0749999999999997
bearmountain,BM01,2021,postfire,2yr,duff_depth_cm,0
bearmountain,BM01,2021,postfire,2yr,fuel_depth_cm,1.9
bearmountain,BM02,2019,postfire,immediate,mass_1hr,0.013752437989040547
bearmountain,BM02,2019,postfire,immediate,mass_10hr,0.10568210630053423
bearmountain,BM02,2019,postfire,immediate,mass_100hr,0.5601179356381238
bearmountain,BM02,2019,postfire,immediate,mass_cwd_sound,0
bearmountain,BM02,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,BM02,2019,postfire,immediate,total_fine,0.6795524799276992
bearmountain,BM02,2019,postfire,immediate,total_cwd,0
bearmountain,BM02,2019,postfire,immediate,total_fuel,1.9195867033739002
bearmountain,BM02,2019,postfire,immediate,duff_load,0.5495230928346282
bearmountain,BM02,2019,postfire,immediate,litter_load,0.6905111306115731
bearmountain,BM02,2019,postfire,immediate,litter_depth_cm,1.25
bearmountain,BM02,2019,postfire,immediate,duff_depth_cm,0.2
bearmountain,BM02,2019,prefire,NA,mass_1hr,0.12482183609628927
bearmountain,BM02,2019,prefire,NA,mass_10hr,0.10568210630053429
bearmountain,BM02,2019,prefire,NA,mass_100hr,0.2800589678190619
bearmountain,BM02,2019,prefire,NA,mass_cwd_sound,0.20502366084684198
bearmountain,BM02,2019,prefire,NA,mass_cwd_rotten,0
bearmountain,BM02,2019,prefire,NA,total_fine,0.5105629102158858
bearmountain,BM02,2019,prefire,NA,total_cwd,0.20502366084684198
bearmountain,BM02,2019,prefire,NA,total_fuel,3.8165739458203034
bearmountain,BM02,2019,prefire,NA,duff_load,1.2020817655757496
bearmountain,BM02,2019,prefire,NA,litter_load,1.8989056091818266
bearmountain,BM02,2019,prefire,NA,litter_depth_cm,3.4375
bearmountain,BM02,2019,prefire,NA,duff_depth_cm,0.4375
bearmountain,BM02,2021,postfire,2yr,mass_1hr,0.020628656983560808
bearmountain,BM02,2021,postfire,2yr,mass_10hr,0.10568210630053429
bearmountain,BM02,2021,postfire,2yr,mass_100hr,0.37341195709208286
bearmountain,BM02,2021,postfire,2yr,mass_cwd_sound,0
bearmountain,BM02,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,BM02,2021,postfire,2yr,total_fine,0.499722720376178
bearmountain,BM02,2021,postfire,2yr,total_cwd,0
bearmountain,BM02,2021,postfire,2yr,total_fuel,2.353590397153022
bearmountain,BM02,2021,postfire,2yr,duff_load,0.6869038660432853
