site,year,Plot ID,species_id,status,lifeform,layer_code,percent,notes,,,,,,,,,,,,,
bearmtn,2019,BM10,sarsan,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,arvi,live,SH,SL,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,arvi,live,SH,SM,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,tallflower,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,tighttopgrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,flat1,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,unkflw5,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,tallgrass2,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,stte,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,arspp,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,diskflw,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,irisspp2,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,grass1,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,puffspike,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,gayspp,live,FB,,0.5,,,,,,,,,,,,,,
bearmtn,2019,BM10,cade,dead,TR,TSA,0.5,,,,,,,,,,,,,,
bearmtn,2019,BM10,cade,live,TR,TOV,10,,,,,,,,,,,,,,
bearmtn,2019,BM10,pipo,live,TR,TOV,20,,,,,,,,,,,,,,
bearmtn,2019,BM10,cade,dead,TR,TSE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM10,pipo,live,TR,TSE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,chfo,live,SH,SL,50,,,,,,,,,,,,,,
bearmtn,2019,BM11,chfo,live,SH,SM,20,,,,,,,,,,,,,,
bearmtn,2019,BM11,unkflw1,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,commonforb,live,FB,,5,,,,,,,,,,,,,,
bearmtn,2019,BM11,droopygrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,gayspp,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,puffspike,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,unkflw4,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,arvi,live,SH,SL,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,arvi,live,SH,SM,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,whiteunderfb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,unkhairyflr,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,tinyfb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,tighttopgrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,smallFgrass,live,GR,,tr,,,,,,,,,,,,,,
