plotid,fuel_type,mass_ton_acre,PlotType
VR40E,total_cwd,2.259559565,MixedConifer
VR40E,total_fuel,4.468888133,MixedConifer
VR43,mass_1hr,0.025432193,Riparian
VR43,mass_10hr,0.347677573,Riparian
VR43,mass_100hr,0.553396829,Riparian
VR43,mass_cwd_sound,0.158635078,Riparian
VR43,mass_cwd_rotten,5.044255939,Riparian
VR43,total_fine,0.926506595,Riparian
VR43,total_cwd,5.202891017,Riparian
VR43,total_fuel,6.129397613,Riparian
VR44,mass_1hr,0.083562921,Riparian
VR44,mass_10hr,1.529781322,Riparian
VR44,mass_100hr,1.106793659,Riparian
VR44,mass_cwd_sound,4.649271572,Riparian
VR44,mass_cwd_rotten,1.449785025,Riparian
VR44,total_fine,2.720137902,Riparian
VR44,total_cwd,6.099056597,Riparian
VR44,total_fuel,8.819194499,Riparian
VR4N,mass_1hr,0.222629743,UpperMontane
VR4N,mass_10hr,0.973497205,UpperMontane
VR4N,mass_100hr,1.660190488,UpperMontane
VR4N,mass_cwd_sound,0.365181344,UpperMontane
VR4N,mass_cwd_rotten,0,UpperMontane
VR4N,total_fine,2.856317436,UpperMontane
VR4N,total_cwd,0.365181344,UpperMontane
VR4N,total_fuel,3.22149878,UpperMontane
VR52,mass_1hr,0.036331705,Riparian
VR52,mass_10hr,0.834426176,Riparian
VR52,mass_100hr,1.383492073,Riparian
VR52,mass_cwd_sound,0,Riparian
VR52,mass_cwd_rotten,0.056588018,Riparian
VR52,total_fine,2.254249954,Riparian
VR52,total_cwd,0.056588018,Riparian
VR52,total_fuel,2.310837972,Riparian
