site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
slypark,spi8,2019,prefire,"",spi8 prefire NA,90,2.5,7,,0.130794137560976,0.556284117073171,0,0.175240664796029,0,0.687078254634146,0.175240664796029,0.862318919430175,slypark spi8 prefire NA
slypark,spi8,2020,postfire,immediate,spi8 postfire immediate,0,3,4,,0.0145326819512195,0.278142058536585,0,0,0,0.292674740487805,0,0.292674740487805,slypark spi8 postfire immediate
slypark,spi8,2020,postfire,immediate,spi8 postfire immediate,180,5,7,,0.0726634097560976,0.556284117073171,0,0,0,0.628947526829268,0,0.628947526829268,slypark spi8 postfire immediate
slypark,spi8,2020,postfire,immediate,spi8 postfire immediate,270,3.5,2.5,,0.0145326819512195,0.834426175609756,0,0,0,0.848958857560976,0,0.848958857560976,slypark spi8 postfire immediate
slypark,spi8,2020,postfire,immediate,spi8 postfire immediate,90,4.5,4.5,,0,0.278142058536585,0,0,0,0.278142058536585,0,0.278142058536585,slypark spi8 postfire immediate
slypark,spi8,2021,postfire,1yr,spi8 postfire 1yr,90,1,4.55,9.5,0.0871960917073171,0.834426175609756,0,0,0,0.921622267317073,0,0.921622267317073,slypark spi8 postfire 1yr
slypark,spi8,2021,postfire,1yr,spi8 postfire 1yr,0,1.5,4.75,4.15,0.0871960917073171,0.278142058536585,4.42717463414634,0,0,4.79251278439024,0,4.79251278439024,slypark spi8 postfire 1yr
slypark,spi8,2021,postfire,1yr,spi8 postfire 1yr,180,3.05,3,3.85,0.0726634097560976,0.278142058536585,0,0.394291495791064,0,0.350805468292683,0.394291495791064,0.745096964083747,slypark spi8 postfire 1yr
slypark,spi8,2021,postfire,1yr,spi8 postfire 1yr,270,2.5,2,3.55,0.029065363902439,0.556284117073171,1.10679365853659,0,0,1.6921431395122,0,1.6921431395122,slypark spi8 postfire 1yr
slypark,spi9,2020,postfire,immediate,spi9 postfire immediate,0,3.5,5.5,,0,0.278142058536585,0,0,0,0.278142058536585,0,0.278142058536585,slypark spi9 postfire immediate
slypark,spi9,2020,postfire,immediate,spi9 postfire immediate,180,1.5,4,,0,0.556284117073171,0,0,0,0.556284117073171,0,0.556284117073171,slypark spi9 postfire immediate
slypark,spi9,2020,postfire,immediate,spi9 postfire immediate,270,2,0.5,,0.029065363902439,0,1.10679365853659,0,0,1.13585902243902,0,1.13585902243902,slypark spi9 postfire immediate
slypark,spi9,2020,postfire,immediate,spi9 postfire immediate,90,2.5,6,,0.058130727804878,2.78142058536585,2.21358731707317,0,0,5.0531386302439,0,5.0531386302439,slypark spi9 postfire immediate
slypark,spi9,2021,postfire,1yr,spi9 postfire 1yr,90,1.8,8.25,8.9,0,1.11256823414634,0,0,0,1.11256823414634,0,1.11256823414634,slypark spi9 postfire 1yr
slypark,spi9,2021,postfire,1yr,spi9 postfire 1yr,0,5.2,10.65,9.35,0,0,0,0,0,0,0,0,slypark spi9 postfire 1yr
slypark,spi9,2021,postfire,1yr,spi9 postfire 1yr,180,5.6,5.6,4.1,0,0,0,0,0,0,0,0,slypark spi9 postfire 1yr
slypark,spi9,2021,postfire,1yr,spi9 postfire 1yr,270,0,3.25,3.3,0.0871960917073171,0.556284117073171,1.10679365853659,0,0,1.75027386731707,0,1.75027386731707,slypark spi9 postfire 1yr
springsfire,springs1,2019,postfire,immediate,springs1 postfire immediate,0,0.5,0.5,,0.029065363902439,0.278142058536585,0,0,0,0.307207422439024,0,0.307207422439024,springsfire springs1 postfire immediate
springsfire,springs1,2019,postfire,immediate,springs1 postfire immediate,180,0.5,1.025,,0,0.834426175609756,0,0,0,0.834426175609756,0,0.834426175609756,springsfire springs1 postfire immediate
springsfire,springs1,2019,postfire,immediate,springs1 postfire immediate,270,0.525,0.05,,0,0,0,4.98462335419815,0,0,4.98462335419815,4.98462335419815,springsfire springs1 postfire immediate
