site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
bearmountain,BM7,prefire,2019,[20-40],LIVE,0.547391103961486,1,26.4,12,4.04686,2.21521516297758
bearmountain,BM7,prefire,2019,[40-60],LIVE,4.33069332695516,2,52.45,27.05,8.09372,17.5257095971218
bearmountain,BM8,prefire,2019,[<20],DEAD,0.0502654824574367,1,8,4,4.04686,0.203417370337702
bearmountain,BM8,prefire,2019,[<20],LIVE,0.165129963854314,1,14.5,4.5,4.04686,0.668257845523467
bearmountain,BM8,prefire,2019,[20-40],LIVE,5.86144220139842,8,30.05,10.675,32.37488,23.7204359871512
bearmountain,BM8,prefire,2019,[40-60],DEAD,4.31275483290317,2,52.35,26.9,8.09372,17.4531150230825
bearmountain,BM8,prefire,2019,[60-80],DEAD,6.70124489557441,2,65.15,13.2,8.09372,27.1189999181043
bearmountain,BM8,prefire,2019,[80-100],DEAD,5.80880481648753,1,86,22.2,4.04686,23.5074198596507
BlissSP,bliss1,prefire,2019,[<20],LIVE,0.738572724895693,3,17.4666666666667,10,12.14058,2.98890041747138
BlissSP,bliss1,prefire,2019,[20-40],DEAD,3.63029095280059,4,33.725,5.25,16.18744,14.6912792452506
BlissSP,bliss1,prefire,2019,[20-40],LIVE,11.4588335402626,17,28.9176470588235,13.3588235294118,68.79662,46.3722951007472
BlissSP,bliss1,prefire,2019,[40-60],DEAD,5.13407710829441,3,46.1666666666667,9.46666666666667,12.14058,20.7768912864723
BlissSP,bliss1,prefire,2019,[40-60],LIVE,2.70657631884721,2,41.5,18.15,8.09372,10.95313544169
BlissSP,bliss10,prefire,2019,[<20],DEAD,0.186265028431339,1,15.4,9,4.04686,0.753788492957648
BlissSP,bliss10,prefire,2019,[<20],LIVE,0.169716689128555,1,14.7,6,4.04686,0.686819680566782
BlissSP,bliss10,prefire,2019,[>100],LIVE,14.420106629518,1,135.5,33,4.04686,58.3561527147312
BlissSP,bliss10,prefire,2019,[20-40],LIVE,8.50428345928594,11,30.9909090909091,15.5,44.51546,34.4156445600459
BlissSP,bliss10,prefire,2019,[40-60],DEAD,1.71286700057186,1,46.7,1.9,4.04686,6.93173294993424
BlissSP,bliss10,prefire,2019,[40-60],LIVE,7.81667522121311,4,49.7,20.7,16.18744,31.6329902857185
BlissSP,bliss10,prefire,2019,[60-80],LIVE,6.22633033413124,2,62.95,26.5,8.09372,25.1970871759824
BlissSP,bliss11,prefire,2019,[<20],DEAD,0.107513154587477,1,11.7,6,4.04686,0.435090684773876
BlissSP,bliss11,prefire,2019,[<20],LIVE,0.286521103989023,1,19.1,12,4.04686,1.15951079488902
