Lifeform,CODE,Genus,Species,epithet,Var/Ssp,Rare?,Alt Code,Family,Klamath,Concow,Henry Coe,Sly Park,Burton,Wilder Ranch,Valentine,Shaver Lake,Healsburg,Bear Mnt2021,Stanislaus,SpringsFire,FrenchMeadows,SlyPark,Burton/Bliss SP,Notes
FB,DOEBRE,Doellingeria,breweri,"(A. Gray) Semple, Brouillet & G.A. Allen",,,"ASTBRE, EUCBRE",,,,,,,,,,,,,,,,,
FB,DRYGLA,Drymocallis,glandulosa,,,,,,,x,,,,,,,,,,,,,,
FERN,DRYARG,Dryopteris ,arguta,,,,,,,,,,,x,,,x,,,,,,,
FB,DYSBOT,Dysphania,botrys,,,,,,,,,,,,,,,,,,,,,
FB,DYPU,Dysphania,pumilio,,,,,,,,,,,,,,,,,,,x,,fern like prostrate amaranth
GR,ELEACI,Eleocharis,acicularis,,,,,,,,,,,,,,,,,,,,,
GR,ELEQUI,Eleocharis,quinceflora,,,,,,,,,,,,,,,,,,,,,
GR,ELYCIN,Elymus,cinereus,,,,,poaceae ,,,,,x,,,,,,,x,,,,
GR,ELYELY,Elymus,elymoides,(Raf.) Swezey,,,ELEL,poaceae ,,,,,x,,x,x,,x,,x,,,,
GR,ELYGLA,Elymus,glaucus,,,,ELGL,poaceae ,x,x,x,,,x,x,x,x,x,,,x,x,,
GR,ELYMUL,Elymus,multisetus,,,,ELMU,poaceae ,,,,,,,,,,,,,x,,,
GR,ELYSIE,Elymus,sierrac,,,,,poaceae ,,,,,,,,,,,,,x,x,,orignially elymuslike
GR,ELYTRA,Elymus,trachycaulus,,,,,,,,,,,,x,,,,,,,,,
GR,ELYTRI,Elymus,triticoides,,,,,,,,,,,,,,,,,,,,,
GR,ELYMUS,Elymus,,,,,,,,,,,,,,,,,,,,,,
FB,EPIBRA,Epilobium,brachycarpum,,,,,,,x,,,,,,,,,,,,,,
FB,EPICAN,Epilobium,canum,(Greene) P. H. Raven,,,,,,,,,,,,,,,,,,,,
FB,EPICIL,Epilobium,ciliatum,,,,,,,,,,,,,,,,,,,,,
FB,EPICILGLA,Epilobium,ciliatum,,ssp glandulosum,,,,,,,,,,x,,,,,,,,,
FB,EPIDEN,Epilobium,densiflorum,,,,,,,,,,,,,,,x,,,,,,
FB,EPIGLA,Epilobium,glaberrimum,,,,,,,,,,,,,,,,,,,,,
FB,EPIHAL,Epilobium,halleanum,,,,,,,,,,,,x,,,,,,,,,
FB,EPIOBC,Epilobium,obcordatum,,,,,,,,,,,,,,,,,,,,,
FB,EPILOBIUM,Epilobium,,,,,,,,,,,,,,,,,,,,,,
FB,EPIHEL,Epipactis,helleborine,,,,,,,,,,,x,,,,,,,,,,
FB,EPIPACTIS,Epipactis,,,,,,,,,,,,,,,,,,,,,,
FERN,EQUARV,Equisetum,arvense,,,,,,,,,,,,x,,,,,,,,,
FERN,EQUHYE,Equisetum,hyemale,,,,,,x,,,,,,,,,,,,,,,
FERN,EQUISETUM,Equisetum,,,,,,,,,,,,,,,,,,,,,,
FB,ERAGR,Eragrostis,,,,,,,,,,,,,,,,,,,,,,
FB,ERIWIL,Eriastrum,wilcoxii,,,,,,,,,,,,x,,,,,,,,,
SH,ERIBLO,Ericameria,bloomeri,(A. Gray) J. F. Macbr.,,,,,,,,,,,,,,,,,,,,
SH,ERIDIS,Ericameria,discoidea,,,,,,,,,,,,,,,x,,x,,,,white stem
SH,ERINAN,Ericameria,nana,,,,,,,,,,,,x,,,,,,,,,
SH,CHRNAU,Ericameria,nauseosa,,,,,,,,,,x,,,,,,,,,,,
